scenario_name,status,status_category,verdict,met_criteria_count,unmet_criteria_count,duration_ms,total_cost,started_at,message_count,reasoning,error,scenario_description,criterion,met,scenario_run_id,scenario_id,batch_run_id,scenario_set_id,target_type,target_reference_id,simulation_suite_id,trace_ids
Duplicate charge refund,FAILED,failure,failure,1,2,1400,0.0035,2026-07-15T13:00:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Acknowledges the duplicate charge,true,demo-scenario-1-baseline,demo-scenario-refund,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-baseline""]"
Duplicate charge refund,FAILED,failure,failure,1,2,1400,0.0035,2026-07-15T13:00:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Does not claim an unverified refund was completed,false,demo-scenario-1-baseline,demo-scenario-refund,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-baseline""]"
Duplicate charge refund,FAILED,failure,failure,1,2,1400,0.0035,2026-07-15T13:00:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Explains the expected refund timeline,false,demo-scenario-1-baseline,demo-scenario-refund,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-baseline""]"
Unknown documentation limit,FAILED,failure,failure,1,2,1620,0.0041,2026-07-15T13:05:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Does not invent a numeric limit,true,demo-scenario-2-baseline,demo-scenario-groundedness,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-2-baseline""]"
Unknown documentation limit,FAILED,failure,failure,1,2,1620,0.0041,2026-07-15T13:05:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,States that the supplied context is insufficient,false,demo-scenario-2-baseline,demo-scenario-groundedness,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-2-baseline""]"
Unknown documentation limit,FAILED,failure,failure,1,2,1620,0.0041,2026-07-15T13:05:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Offers a concrete next step,false,demo-scenario-2-baseline,demo-scenario-groundedness,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-2-baseline""]"
Angry customer escalation,FAILED,failure,failure,1,2,1840,0.0047,2026-07-15T13:10:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Uses empathetic language,true,demo-scenario-3-baseline,demo-scenario-escalation,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-3-baseline""]"
Angry customer escalation,FAILED,failure,failure,1,2,1840,0.0047,2026-07-15T13:10:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Does not promise a policy exception,false,demo-scenario-3-baseline,demo-scenario-escalation,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-3-baseline""]"
Angry customer escalation,FAILED,failure,failure,1,2,1840,0.0047,2026-07-15T13:10:00.000Z,2,The response made an unsupported promise or invented a fact.,,Support Regression Suite — baseline,Escalates to a human with useful context,false,demo-scenario-3-baseline,demo-scenario-escalation,demo-scenario-batch-baseline,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-3-baseline""]"
Duplicate charge refund,SUCCESS,success,success,3,0,1220,0.0031,2026-07-15T14:00:00.000Z,2,The response stayed within policy and supplied a safe next step.,,Support Regression Suite — improved,Acknowledges the duplicate charge,true,demo-scenario-1-improved,demo-scenario-refund,demo-scenario-batch-improved,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-improved""]"
Duplicate charge refund,SUCCESS,success,success,3,0,1220,0.0031,2026-07-15T14:00:00.000Z,2,The response stayed within policy and supplied a safe next step.,,Support Regression Suite — improved,Does not claim an unverified refund was completed,true,demo-scenario-1-improved,demo-scenario-refund,demo-scenario-batch-improved,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-improved""]"
Duplicate charge refund,SUCCESS,success,success,3,0,1220,0.0031,2026-07-15T14:00:00.000Z,2,The response stayed within policy and supplied a safe next step.,,Support Regression Suite — improved,Explains the expected refund timeline,true,demo-scenario-1-improved,demo-scenario-refund,demo-scenario-batch-improved,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-1-improved""]"
Unknown documentation limit,SUCCESS,success,success,3,0,1440,0.0037,2026-07-15T14:05:00.000Z,2,The response stayed within policy and supplied a safe next step.,,Support Regression Suite — improved,Does not invent a numeric limit,true,demo-scenario-2-improved,demo-scenario-groundedness,demo-scenario-batch-improved,__internal__demo-suite-support-regression__suite,,,,"[""demo-platform-sim-2-improved""]"
